13.57,-0.73,0.38,0.37,0.38,0.23
14.59,-0.81,0.38,0.37,0.38,0.23
15.36,-0.94,0.38,0.36,0.38,0.23
16.06,-0.86,0.38,0.36,0.37,0.23
16.59,-0.85,0.38,0.36,0.37,0.23
17.35,-0.93,0.38,0.36,0.37,0.23
18.24,-0.86,0.38,0.35,0.37,0.23
18.4,-0.83,0.38,0.35,0.37,0.22
19.67,-1.03,0.38,0.35,0.37,0.22
20.05,-0.96,0.38,0.34,0.37,0.22
20.71,-0.98,0.38,0.34,0.37,0.22
21.67,-0.95,0.38,0.34,0.36,0.22
22.25,-1.01,0.38,0.33,0.36,0.22
23.17,-1.07,0.38,0.33,0.36,0.22
23.44,-0.93,0.38,0.33,0.36,0.22
24.85,-1.03,0.38,0.32,0.36,0.22
25.23,-0.95,0.38,0.32,0.36,0.22
26.17,-1.03,0.38,0.32,0.35,0.22
26.98,-1.16,0.38,0.31,0.35,0.22
27.53,-1.13,0.38,0.31,0.35,0.21
28.41,-1.45,0.38,0.31,0.35,0.21
28.89,-1.27,0.38,0.3,0.34,0.21
29.92,-1.29,0.38,0.3,0.34,0.21
31.08,-1.31,0.38,0.29,0.34,0.21
31.38,-1.18,0.38,0.29,0.33,0.21
32.75,-1.59,0.38,0.28,0.33,0.2
32.92,-1.05,0.38,0.28,0.33,0.2
34.23,-1.5,0.37,0.27,0.33,0.2
34.78,-1.18,0.37,0.27,0.32,0.2
35.7,-1.42,0.37,0.26,0.32,0.2
36.94,-1.58,0.37,0.26,0.31,0.19
37.52,-1.36,0.37,0.25,0.31,0.19
39,-1.61,0.37,0.25,0.31,0.19
39.59,-1.44,0.37,0.24,0.3,0.19
40.55,-1.68,0.37,0.24,0.3,0.18
41.21,-1.46,0.37,0.23,0.3,0.18
42.46,-1.66,0.37,0.23,0.29,0.18
43.21,-1.77,0.37,0.22,0.29,0.17
44.22,-1.8,0.37,0.21,0.28,0.17
45.29,-1.71,0.36,0.21,0.28,0.17
45.59,-1.8,0.36,0.2,0.28,0.17
47.27,-1.93,0.36,0.2,0.27,0.16
47.85,-1.49,0.36,0.19,0.27,0.16
47.85,-1.84,0.36,0.18,0.27,0.16
49.48,-2.1,0.36,0.18,0.26,0.15
50.09,-2.01,0.36,0.17,0.26,0.15
51.09,-1.89,0.35,0.16,0.26,0.15
51.93,-1.96,0.35,0.15,0.25,0.14
53.33,-1.99,0.35,0.15,0.25,0.14
54.3,-1.78,0.35,0.14,0.24,0.14
55.09,-1.92,0.34,0.13,0.24,0.13
55.38,-2.23,0.34,0.12,0.23,0.13
56.49,-2.06,0.33,0.12,0.23,0.13
57.2,-2.05,0.34,0.11,0.23,0.13
58.62,-2.08,0.33,0.11,0.22,0.13
58.41,-1.97,0.33,0.1,0.22,0.12
58.89,-2.1,0.33,0.1,0.22,0.12
60.02,-2.14,0.33,0.09,0.21,0.12
60.26,-2.04,0.32,0.08,0.21,0.12
60.91,-2.11,0.32,0.08,0.2,0.12
61.68,-2.17,0.32,0.07,0.2,0.11
61.89,-2.26,0.32,0.07,0.2,0.11
62.26,-2.13,0.32,0.07,0.2,0.11
62.53,-1.99,0.32,0.07,0.2,0.11
62.35,-2,0.32,0.07,0.2,0.11
62.31,-1.93,0.32,0.08,0.2,0.12
60.81,-2.1,0.32,0.08,0.21,0.12
60.49,-2.3,0.33,0.09,0.21,0.12
60.28,-2,0.33,0.1,0.22,0.12
58.22,-1.98,0.33,0.11,0.23,0.13
58.53,-2.26,0.34,0.12,0.23,0.13
56.3,-2.31,0.34,0.12,0.23,0.13
56.83,-2.19,0.34,0.12,0.24,0.13
56.08,-2.03,0.34,0.13,0.24,0.14
55.56,-1.99,0.34,0.13,0.24,0.14
55.76,-2.06,0.34,0.14,0.24,0.14
55.09,-1.9,0.35,0.14,0.24,0.14
54.19,-2.31,0.35,0.14,0.24,0.14
55.02,-2.06,0.35,0.14,0.24,0.14
54.06,-1.99,0.35,0.14,0.25,0.14
54.51,-2.15,0.35,0.14,0.24,0.14
53.86,-2.09,0.35,0.14,0.25,0.14
54.12,-1.98,0.35,0.14,0.25,0.14
54.34,-2.06,0.35,0.14,0.25,0.14
54.5,-1.83,0.35,0.14,0.25,0.14
54,-2.1,0.35,0.14,0.25,0.14
53.98,-2.11,0.35,0.14,0.25,0.14
53.47,-2.09,0.35,0.15,0.25,0.14
52.72,-2.21,0.35,0.15,0.25,0.14
53.45,-2.11,0.35,0.16,0.25,0.15
52.68,-1.92,0.35,0.16,0.25,0.15
52.22,-2.04,0.35,0.16,0.26,0.15
